recipe_id,step_number,instruction
b2c3d4e5-f6a7-8901-2345-67890abcdef0,1,Wash vegetables.
b2c3d4e5-f6a7-8901-2345-67890abcdef0,2,Chop vegetables.
b2c3d4e5-f6a7-8901-2345-67890abcdef0,3,Mix in a bowl.
11111111-2222-4333-8444-555555555555,1,Wash cucumber and tomatoes.
11111111-2222-4333-8444-555555555555,2,Slice vegetables.
11111111-2222-4333-8444-555555555555,3,Toss and season to taste.
66666666-7777-4888-8999-000000000000,1,Add skimmed milk to a bowl.
66666666-7777-4888-8999-000000000000,2,Whisk in olive oil until creamy.
66666666-7777-4888-8999-000000000000,3,Season and serve.
r1000000-0000-4000-8000-000000000001,1,Cook the rice and season the chicken.
r1000000-0000-4000-8000-000000000001,2,Slice the vegetables and warm the dressing.
r1000000-0000-4000-8000-000000000001,3,Assemble the bowl and finish with lemon.
r1000000-0000-4000-8000-000000000002,1,Boil the pasta and chop the vegetables.
r1000000-0000-4000-8000-000000000002,2,Sauté everything with garlic and olive oil.
r1000000-0000-4000-8000-000000000002,3,Toss with parmesan and basil.
r1000000-0000-4000-8000-000000000003,1,Combine the yogurt oats and milk.
r1000000-0000-4000-8000-000000000003,2,Top with berries and honey.
r1000000-0000-4000-8000-000000000003,3,Serve chilled.
r1000000-0000-4000-8000-000000000004,1,Season and sear the salmon.
r1000000-0000-4000-8000-000000000004,2,Cook the rice and prepare the vegetables.
r1000000-0000-4000-8000-000000000004,3,Finish with lemon and olive oil.
r1000000-0000-4000-8000-000000000005,1,Warm the tortillas and slice the fillings.
r1000000-0000-4000-8000-000000000005,2,Layer turkey avocado and vegetables.
r1000000-0000-4000-8000-000000000005,3,Roll tightly and serve.
r1000000-0000-4000-8000-000000000006,1,Whisk the eggs and chop the vegetables.
r1000000-0000-4000-8000-000000000006,2,Cook the omelette and add feta.
r1000000-0000-4000-8000-000000000006,3,Fold and serve warm.
r1000000-0000-4000-8000-000000000007,1,Simmer chickpeas with coconut milk and curry paste.
r1000000-0000-4000-8000-000000000007,2,Stir in spinach and warm the rice.
r1000000-0000-4000-8000-000000000007,3,Serve the curry over rice.
r1000000-0000-4000-8000-000000000008,1,Sear the beef and vegetables quickly.
r1000000-0000-4000-8000-000000000008,2,Add garlic and sauce.
r1000000-0000-4000-8000-000000000008,3,Serve with rice.
r1000000-0000-4000-8000-000000000009,1,Toast the arborio rice lightly.
r1000000-0000-4000-8000-000000000009,2,Stir in broth and mushrooms slowly.
r1000000-0000-4000-8000-000000000009,3,Finish with parmesan.
r1000000-0000-4000-8000-000000000010,1,Layer yogurt oats and fruit.
r1000000-0000-4000-8000-000000000010,2,Add honey and cinnamon.
r1000000-0000-4000-8000-000000000010,3,Serve immediately.
r1000000-0000-4000-8000-000000000011,1,Roast the sweet potatoes.
r1000000-0000-4000-8000-000000000011,2,Fill tortillas with chickpeas and avocado.
r1000000-0000-4000-8000-000000000011,3,Top with tomato and lemon.
r1000000-0000-4000-8000-000000000012,1,Toast the bread slices.
r1000000-0000-4000-8000-000000000012,2,Top with tomato basil and olive oil.
r1000000-0000-4000-8000-000000000012,3,Serve open faced.
r1000000-0000-4000-8000-000000000013,1,Cook the rice and scramble the eggs.
r1000000-0000-4000-8000-000000000013,2,Stir fry the shrimp and vegetables.
r1000000-0000-4000-8000-000000000013,3,Combine and season.
r1000000-0000-4000-8000-000000000014,1,Soften the vegetables in olive oil.
r1000000-0000-4000-8000-000000000014,2,Simmer lentils in broth until tender.
r1000000-0000-4000-8000-000000000014,3,Season and serve hot.
r1000000-0000-4000-8000-000000000015,1,Cook the chicken and warm the tortillas.
r1000000-0000-4000-8000-000000000015,2,Add lettuce parmesan and lemon.
r1000000-0000-4000-8000-000000000015,3,Roll into wraps and serve.
r1000000-0000-4000-8000-000000000016,1,Season the cod and potatoes.
r1000000-0000-4000-8000-000000000016,2,Bake until the potatoes are tender.
r1000000-0000-4000-8000-000000000016,3,Finish with lemon and spinach.
r1000000-0000-4000-8000-000000000017,1,Boil the pasta and wilt the spinach.
r1000000-0000-4000-8000-000000000017,2,Toss with feta tomato and garlic.
r1000000-0000-4000-8000-000000000017,3,Serve warm.
r1000000-0000-4000-8000-000000000018,1,Soak the oats with yogurt and milk.
r1000000-0000-4000-8000-000000000018,2,Stir in apple and cinnamon.
r1000000-0000-4000-8000-000000000018,3,Top with honey and serve cold.
